epsilon,delta_I,lambda,sigma_mult,sigma,n,p_any_hit,p_narrow_hit,p_broad_hit,p_no_hit,p_R_0p0_to_0p1,p_R_0p1_to_0p5,p_R_0p5_to_2p0,p_R_2p0_to_4p0,p_R_4p0_to_inf,p_entered_narrow,p_entered_broad,p_multi_narrow,p_multi_broad,median_hit_R,q25_hit_R,q75_hit_R,scale_half,scale_twothirds,scale_eps34
0.04,0.02,0.016,1.0,0.025298221281347035,1000,0.013,0.0,0.0,0.987,0.013,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0006048761786418836,0.00031549237289729676,0.0009390295127260222,1.0,1.9921100948292234,0.282842712474619
0.04,0.02,0.016,1.5,0.03794733192202056,1000,0.065,0.006,0.015,0.935,0.05,0.009,0.006,0.0,0.0,1.0,1.0,0.001,0.0,0.0013000455369671009,0.0004649299288309193,0.041246149030022335,1.5000000000000002,2.988165142243836,0.42426406871192857
0.04,0.02,0.016,2.0,0.05059644256269407,1000,0.12,0.027,0.049,0.88,0.071,0.02,0.027,0.002,0.0,0.998,1.0,0.003,0.0,0.002936555455459947,0.0006263848524746538,0.4893774820283095,2.0,3.984220189658447,0.565685424949238
0.04,0.02,0.016,2.5,0.06324555320336758,1000,0.195,0.05,0.102,0.805,0.091,0.028,0.05,0.024,0.002,0.975,0.998,0.002,0.0,0.20368346531037032,0.0013838794032795512,1.1620668394158309,2.5,4.980275237073058,0.7071067811865475
0.04,0.02,0.016,3.0,0.07589466384404112,1000,0.237,0.081,0.143,0.763,0.088,0.029,0.081,0.033,0.006,0.963,0.995,0.001,0.0,0.5153571459992832,0.002210048371041058,1.5247107615099869,3.0000000000000004,5.976330284487672,0.8485281374238571
0.04,0.02,0.016,4.0,0.10119288512538814,1000,0.338,0.107,0.214,0.662,0.09,0.043,0.107,0.064,0.034,0.903,0.966,0.0,0.003,0.9237127576027804,0.0654840648604963,2.3254464011314355,4.0,7.968440379316894,1.131370849898476
0.04,0.02,0.016,5.0,0.12649110640673517,1000,0.427,0.117,0.241,0.573,0.077,0.041,0.117,0.083,0.109,0.808,0.895,0.001,0.0,1.7079108898090882,0.3651874474037997,4.046928774816108,5.0,9.960550474146116,1.414213562373095
0.04,0.02,0.016,6.5,0.1644384383287557,1000,0.522,0.108,0.288,0.478,0.058,0.045,0.108,0.135,0.176,0.69,0.827,0.0,0.004,2.6726051194223057,0.9772521429804689,4.876416427405433,6.499999999999999,12.94871561638995,1.8384776310850233
0.04,0.02,0.016,8.0,0.20238577025077628,1000,0.621,0.108,0.282,0.379,0.05,0.032,0.108,0.142,0.289,0.57,0.714,0.0,0.001,3.6806012709516778,1.5351728899942052,5.617702752829923,8.0,15.936880758633787,2.262741699796952
0.04,0.04,0.032,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,0.0
0.04,0.04,0.032,0.5,0.01788854381999832,1000,0.004,0.0,0.0,0.996,0.004,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.00017971716346438957,0.00010159424141248738,0.0003783120709991445,0.5,0.8873841649388925,0.2
0.04,0.04,0.032,1.0,0.03577708763999664,1000,0.064,0.0,0.003,0.936,0.061,0.003,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0008322360926986882,0.000403542341647684,0.001630443499013225,1.0,1.774768329877785,0.4
0.04,0.04,0.032,1.5,0.053665631459994964,1000,0.149,0.017,0.04,0.851,0.109,0.023,0.017,0.0,0.0,1.0,1.0,0.001,0.0,0.0014299649066141006,0.0005549213874565126,0.13248885688509363,1.5000000000000002,2.6621524948166777,0.6000000000000001
0.04,0.04,0.032,2.0,0.07155417527999328,1000,0.222,0.052,0.095,0.778,0.127,0.036,0.052,0.007,0.0,0.993,1.0,0.0,0.0,0.0037167799793875263,0.0011032515860436554,0.527735826469608,2.0,3.54953665975557,0.8
0.04,0.04,0.032,2.5,0.08944271909999159,1000,0.285,0.082,0.159,0.715,0.124,0.054,0.082,0.023,0.002,0.975,0.999,0.0,0.0,0.21953110232929887,0.0018388080666947122,0.9325907140936878,2.5,4.436920824694462,1.0
0.04,0.04,0.032,3.0,0.10733126291998993,1000,0.392,0.136,0.254,0.608,0.124,0.062,0.136,0.056,0.014,0.93,0.986,0.0,0.0,0.564706547669682,0.00426143246519777,1.6510969642615794,3.0000000000000004,5.324304989633355,1.2000000000000002
0.04,0.04,0.032,4.0,0.14310835055998655,1000,0.5,0.158,0.335,0.5,0.11,0.054,0.158,0.123,0.055,0.822,0.946,0.001,0.002,1.2234072873545419,0.1977573879196055,2.8705125872856856,4.0,7.09907331951114,1.6
0.04,0.04,0.032,5.0,0.17888543819998318,1000,0.596,0.171,0.379,0.404,0.098,0.042,0.171,0.166,0.119,0.719,0.883,0.0,0.002,1.9171829928653552,0.5449194476682606,3.5454630384942183,5.0,8.873841649388924,2.0
0.04,0.04,0.032,6.5,0.23255106965997813,1000,0.691,0.137,0.361,0.309,0.059,0.042,0.137,0.182,0.271,0.548,0.731,0.001,0.0,3.0108225957157906,1.2907189042180107,5.3986868340765,6.499999999999999,11.5359941442056,2.6
0.04,0.04,0.032,8.0,0.2862167011199731,1000,0.752,0.112,0.317,0.248,0.06,0.039,0.112,0.166,0.375,0.46,0.627,0.0,0.0,3.9981775834499205,1.6057684182646428,6.089770780998203,8.0,14.19814663902228,3.2
0.08,0.01,0.008,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,0.0
0.08,0.01,0.008,0.5,0.012649110640673518,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.5,1.1180339887498947,0.08408964152537146
0.08,0.01,0.008,1.0,0.025298221281347035,1000,0.001,0.0,0.0,0.999,0.001,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0009860240100587486,0.0009860240100587486,0.0009860240100587486,1.0,2.2360679774997894,0.16817928305074292
0.08,0.01,0.008,1.5,0.03794733192202055,1000,0.008,0.0,0.001,0.992,0.007,0.001,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0005524091275738384,0.00019052404324901528,0.0011106253912791732,1.5,3.354101966249684,0.2522689245761144
0.08,0.01,0.008,2.0,0.05059644256269407,1000,0.024,0.004,0.007,0.976,0.017,0.002,0.004,0.001,0.0,0.999,1.0,0.0,0.0,0.0015297370086401483,0.000551352353863555,0.21370771664646096,2.0,4.472135954999579,0.33635856610148585
0.08,0.01,0.008,2.5,0.06324555320336758,1000,0.044,0.005,0.016,0.956,0.028,0.009,0.005,0.002,0.0,0.999,1.0,0.0,0.0,0.002802441186383485,0.0006020467294385679,0.3022849048118127,2.5,5.590169943749473,0.42044820762685725
0.08,0.01,0.008,3.0,0.0758946638440411,1000,0.112,0.036,0.071,0.888,0.039,0.022,0.036,0.013,0.002,0.987,0.999,0.007,0.004,0.36050748280900846,0.002360854582608014,1.1364888375930866,3.0,6.708203932499368,0.5045378491522288
