a,b,I_fold_left,I,delta_I,lambda,epsilon,sigma,q,window_lo,window_hi,hit_prob,n,W_star,W_lo,W_hi,v_start,w_start,scale_half,scale_twothirds,scale_eps34
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.02,0.040477154050155256,0.75,0.5,2.0,0.001,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.234735908627536,-0.017254329596422965,1.6,2.839629327804456,0.7610925536017416
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.02,0.05059644256269407,0.75,0.5,2.0,0.009,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.234735908627536,-0.017254329596422965,2.0,3.54953665975557,0.9513656920021769
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.02,0.06324555320336758,0.75,0.5,2.0,0.037,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.234735908627536,-0.017254329596422965,2.5,4.436920824694462,1.189207115002721
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.02,0.0758946638440411,0.75,0.5,2.0,0.067,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.234735908627536,-0.017254329596422965,3.0,5.3243049896333545,1.4270485380032654
0.7,0.8,0.55,0.56,0.01,0.008,0.04,0.0,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1876801091669187,-0.06923923961754189,0.0,0.0,0.0
0.7,0.8,0.55,0.56,0.01,0.008,0.04,0.00626099033699941,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1876801091669187,-0.06923923961754189,0.3499999999999999,0.782623792124926,0.06999999999999999
0.7,0.8,0.55,0.56,0.01,0.008,0.04,0.00894427190999916,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1876801091669187,-0.06923923961754189,0.5,1.1180339887498947,0.1
0.7,0.8,0.55,0.56,0.01,0.008,0.04,0.01252198067399882,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1876801091669187,-0.06923923961754189,0.6999999999999998,1.565247584249852,0.13999999999999999
0.7,0.8,0.55,0.56,0.01,0.008,0.04,0.01609968943799849,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1876801091669187,-0.06923923961754189,0.9,2.0124611797498106,0.18000000000000002
0.7,0.8,0.55,0.56,0.01,0.008,0.04,0.019677398201998153,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1876801091669187,-0.06923923961754189,1.1,2.4596747752497685,0.22000000000000003
