epsilon,delta_I,lambda,sigma_mult,sigma,n,p_pre_window,p_window,p_post_window,p_no_hit,p_any_hit,p_entered_window,mean_entry_count,p_multiple_entries,median_first_hit_W_ratio,scale_half,scale_twothirds,scale_eps34
0.04,0.01,0.008,1.5,0.026832815729997482,1000,0.001,0.0,0.011,0.988,0.012,1.0,1.0,0.0,0.0013088324895495832,1.5000000000000002,3.3541019662496843,0.30000000000000004
0.04,0.01,0.008,2.0,0.03577708763999664,1000,0.0,0.009,0.049,0.942,0.058,1.0,1.001,0.001,0.0019461772457131893,2.0,4.472135954999579,0.4
0.04,0.01,0.008,2.5,0.044721359549995794,1000,0.008,0.027,0.077,0.888,0.112,0.996,0.996,0.0,0.041302836242480594,2.5,5.590169943749473,0.5
0.04,0.01,0.008,3.0,0.053665631459994964,1000,0.026,0.036,0.091,0.847,0.153,0.977,0.978,0.001,0.27129819075402856,3.0000000000000004,6.7082039324993685,0.6000000000000001
0.04,0.01,0.008,4.0,0.07155417527999328,1000,0.068,0.075,0.089,0.768,0.232,0.935,0.935,0.0,0.9347629076864359,4.0,8.944271909999157,0.8
0.04,0.01,0.008,5.0,0.08944271909999159,1000,0.131,0.081,0.082,0.706,0.294,0.87,0.872,0.002,1.4606445851548724,5.0,11.180339887498945,1.0
0.04,0.01,0.008,6.5,0.11627553482998906,1000,0.228,0.09,0.071,0.611,0.389,0.774,0.774,0.0,2.829839106185706,6.499999999999999,14.53444185374863,1.3
0.04,0.01,0.008,8.0,0.14310835055998655,1000,0.311,0.096,0.064,0.529,0.471,0.693,0.694,0.001,3.44071311162462,8.0,17.888543819998315,1.6
0.04,0.02,0.016,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0
0.04,0.02,0.016,0.5,0.012649110640673518,1000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.5,0.9960550474146117,0.1414213562373095
0.04,0.02,0.016,1.0,0.025298221281347035,1000,0.0,0.0,0.013,0.987,0.013,1.0,1.0,0.0,0.0006048761786418836,1.0,1.9921100948292234,0.282842712474619
0.04,0.02,0.016,1.5,0.03794733192202056,1000,0.0,0.006,0.059,0.935,0.065,1.0,1.002,0.001,0.0013000455369671009,1.5000000000000002,2.988165142243836,0.42426406871192857
0.04,0.02,0.016,2.0,0.05059644256269407,1000,0.002,0.027,0.091,0.88,0.12,0.998,1.001,0.003,0.002936555455459947,2.0,3.984220189658447,0.565685424949238
0.04,0.02,0.016,2.5,0.06324555320336758,1000,0.026,0.05,0.119,0.805,0.195,0.975,0.977,0.002,0.20368346531037032,2.5,4.980275237073058,0.7071067811865475
0.04,0.02,0.016,3.0,0.07589466384404112,1000,0.039,0.081,0.117,0.763,0.237,0.963,0.964,0.001,0.5153571459992832,3.0000000000000004,5.976330284487672,0.8485281374238571
