q,window_lo,window_hi,lambda,eta,hit_prob,W_star,W_lo,W_hi,n
0.5,0.5,2.0,0.024,0.035,0.0,0.08320335292207617,0.04160167646103809,0.16640670584415235,2000
0.5,0.5,2.0,0.024,0.05,0.0,0.08320335292207617,0.04160167646103809,0.16640670584415235,2000
0.5,0.5,2.0,0.024,0.07,0.0,0.08320335292207617,0.04160167646103809,0.16640670584415235,2000
0.5,0.5,2.0,0.024,0.1,0.001,0.08320335292207617,0.04160167646103809,0.16640670584415235,2000
0.5,0.5,2.0,0.024,0.14,0.0275,0.08320335292207617,0.04160167646103809,0.16640670584415235,2000
0.5,0.5,2.0,0.024,0.2,0.174,0.08320335292207617,0.04160167646103809,0.16640670584415235,2000
0.5,0.5,2.0,0.024,0.28,0.439,0.08320335292207617,0.04160167646103809,0.16640670584415235,2000
0.5,0.5,2.0,0.024,0.4,0.7435,0.08320335292207617,0.04160167646103809,0.16640670584415235,2000
0.5,0.5,2.0,0.024,0.6,0.94,0.08320335292207617,0.04160167646103809,0.16640670584415235,2000
0.5,0.5,2.0,0.024,0.85,0.9965,0.08320335292207617,0.04160167646103809,0.16640670584415235,2000
0.5,0.5,2.0,0.024,1.1,0.9995,0.08320335292207617,0.04160167646103809,0.16640670584415235,2000
0.5,0.5,2.0,0.032,0.0,0.0,0.10079368399158986,0.05039684199579493,0.20158736798317972,2000
0.5,0.5,2.0,0.032,0.02,0.0,0.10079368399158986,0.05039684199579493,0.20158736798317972,2000
0.5,0.5,2.0,0.032,0.035,0.0,0.10079368399158986,0.05039684199579493,0.20158736798317972,2000
0.5,0.5,2.0,0.032,0.05,0.0,0.10079368399158986,0.05039684199579493,0.20158736798317972,2000
0.5,0.5,2.0,0.032,0.07,0.0,0.10079368399158986,0.05039684199579493,0.20158736798317972,2000
0.5,0.5,2.0,0.032,0.1,0.0,0.10079368399158986,0.05039684199579493,0.20158736798317972,2000
0.5,0.5,2.0,0.032,0.14,0.0085,0.10079368399158986,0.05039684199579493,0.20158736798317972,2000
0.5,0.5,2.0,0.032,0.2,0.098,0.10079368399158986,0.05039684199579493,0.20158736798317972,2000
0.5,0.5,2.0,0.032,0.28,0.318,0.10079368399158986,0.05039684199579493,0.20158736798317972,2000
0.5,0.5,2.0,0.032,0.4,0.63,0.10079368399158986,0.05039684199579493,0.20158736798317972,2000
0.5,0.5,2.0,0.032,0.6,0.89,0.10079368399158986,0.05039684199579493,0.20158736798317972,2000
0.5,0.5,2.0,0.032,0.85,0.9825,0.10079368399158986,0.05039684199579493,0.20158736798317972,2000
0.5,0.5,2.0,0.032,1.1,0.996,0.10079368399158986,0.05039684199579493,0.20158736798317972,2000
0.5,0.5,2.0,0.048,0.0,0.0,0.13207708995578507,0.06603854497789254,0.26415417991157014,2000
0.5,0.5,2.0,0.048,0.02,0.0,0.13207708995578507,0.06603854497789254,0.26415417991157014,2000
0.5,0.5,2.0,0.048,0.035,0.0,0.13207708995578507,0.06603854497789254,0.26415417991157014,2000
0.5,0.5,2.0,0.048,0.05,0.0,0.13207708995578507,0.06603854497789254,0.26415417991157014,2000
0.5,0.5,2.0,0.048,0.07,0.0,0.13207708995578507,0.06603854497789254,0.26415417991157014,2000
0.5,0.5,2.0,0.048,0.1,0.0,0.13207708995578507,0.06603854497789254,0.26415417991157014,2000
0.5,0.5,2.0,0.048,0.14,0.0015,0.13207708995578507,0.06603854497789254,0.26415417991157014,2000
0.5,0.5,2.0,0.048,0.2,0.028,0.13207708995578507,0.06603854497789254,0.26415417991157014,2000
0.5,0.5,2.0,0.048,0.28,0.162,0.13207708995578507,0.06603854497789254,0.26415417991157014,2000
0.5,0.5,2.0,0.048,0.4,0.434,0.13207708995578507,0.06603854497789254,0.26415417991157014,2000
0.5,0.5,2.0,0.048,0.6,0.7855,0.13207708995578507,0.06603854497789254,0.26415417991157014,2000
0.5,0.5,2.0,0.048,0.85,0.9425,0.13207708995578507,0.06603854497789254,0.26415417991157014,2000
0.5,0.5,2.0,0.048,1.1,0.9885,0.13207708995578507,0.06603854497789254,0.26415417991157014,2000
0.5,0.5,2.0,0.064,0.0,0.0,0.16000000000000003,0.08000000000000002,0.32000000000000006,2000
0.5,0.5,2.0,0.064,0.02,0.0,0.16000000000000003,0.08000000000000002,0.32000000000000006,2000
0.5,0.5,2.0,0.064,0.035,0.0,0.16000000000000003,0.08000000000000002,0.32000000000000006,2000
0.5,0.5,2.0,0.064,0.05,0.0,0.16000000000000003,0.08000000000000002,0.32000000000000006,2000
0.5,0.5,2.0,0.064,0.07,0.0,0.16000000000000003,0.08000000000000002,0.32000000000000006,2000
0.5,0.5,2.0,0.064,0.1,0.0,0.16000000000000003,0.08000000000000002,0.32000000000000006,2000
0.5,0.5,2.0,0.064,0.14,0.0,0.16000000000000003,0.08000000000000002,0.32000000000000006,2000
0.5,0.5,2.0,0.064,0.2,0.013,0.16000000000000003,0.08000000000000002,0.32000000000000006,2000
0.5,0.5,2.0,0.064,0.28,0.082,0.16000000000000003,0.08000000000000002,0.32000000000000006,2000
0.5,0.5,2.0,0.064,0.4,0.317,0.16000000000000003,0.08000000000000002,0.32000000000000006,2000
0.5,0.5,2.0,0.064,0.6,0.6805,0.16000000000000003,0.08000000000000002,0.32000000000000006,2000
0.5,0.5,2.0,0.064,0.85,0.8875,0.16000000000000003,0.08000000000000002,0.32000000000000006,2000
0.5,0.5,2.0,0.064,1.1,0.9755,0.16000000000000003,0.08000000000000002,0.32000000000000006,2000
0.5,0.25,2.0,0.004,0.0,0.0,0.02519842099789747,0.006299605249474367,0.05039684199579494,2000
0.5,0.25,2.0,0.004,0.02,0.0,0.02519842099789747,0.006299605249474367,0.05039684199579494,2000
0.5,0.25,2.0,0.004,0.035,0.003,0.02519842099789747,0.006299605249474367,0.05039684199579494,2000
0.5,0.25,2.0,0.004,0.05,0.042,0.02519842099789747,0.006299605249474367,0.05039684199579494,2000
0.5,0.25,2.0,0.004,0.07,0.178,0.02519842099789747,0.006299605249474367,0.05039684199579494,2000
0.5,0.25,2.0,0.004,0.1,0.4465,0.02519842099789747,0.006299605249474367,0.05039684199579494,2000
0.5,0.25,2.0,0.004,0.14,0.7095,0.02519842099789747,0.006299605249474367,0.05039684199579494,2000
0.5,0.25,2.0,0.004,0.2,0.915,0.02519842099789747,0.006299605249474367,0.05039684199579494,2000
0.5,0.25,2.0,0.004,0.28,0.978,0.02519842099789747,0.006299605249474367,0.05039684199579494,2000
