path,t,v,w,V_blow,W_blow,hit,sigma_mult,sigma,lambda,epsilon,I,w_fold
7,0.09860000000000001,-1.1566869143951672,-0.3385786254241278,-0.5772395280565659,0.22287234218725638,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.0988,-1.1565927976248433,-0.338615790226939,-0.5768927989101423,0.2223679382099166,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.0988,-1.1565927976248433,-0.338615790226939,-0.5768927989101423,0.2223679382099166,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.0988,-1.1565927976248433,-0.338615790226939,-0.5768927989101423,0.2223679382099166,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.0988,-1.1565927976248433,-0.338615790226939,-0.5768927989101423,0.2223679382099166,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.0988,-1.1565927976248433,-0.338615790226939,-0.5768927989101423,0.2223679382099166,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.0988,-1.1565927976248433,-0.338615790226939,-0.5768927989101423,0.2223679382099166,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.0988,-1.1565927976248433,-0.338615790226939,-0.5768927989101423,0.2223679382099166,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.0988,-1.1565927976248433,-0.338615790226939,-0.5768927989101423,0.2223679382099166,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.099,-1.1564986271477717,-0.33865293026002763,-0.5765458719063685,0.22186387040943306,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.099,-1.1564986271477717,-0.33865293026002763,-0.5765458719063685,0.22186387040943306,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.099,-1.1564986271477717,-0.33865293026002763,-0.5765458719063685,0.22186387040943306,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.099,-1.1564986271477717,-0.33865293026002763,-0.5765458719063685,0.22186387040943306,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.099,-1.1564986271477717,-0.33865293026002763,-0.5765458719063685,0.22186387040943306,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.099,-1.1564986271477717,-0.33865293026002763,-0.5765458719063685,0.22186387040943306,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.099,-1.1564986271477717,-0.33865293026002763,-0.5765458719063685,0.22186387040943306,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.099,-1.1564986271477717,-0.33865293026002763,-0.5765458719063685,0.22186387040943306,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.09920000000000001,-1.156404403188003,-0.3386900455166156,-0.5761987478706538,0.2213601388777992,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.09920000000000001,-1.156404403188003,-0.3386900455166156,-0.5761987478706538,0.2213601388777992,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.09920000000000001,-1.156404403188003,-0.3386900455166156,-0.5761987478706538,0.2213601388777992,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.09920000000000001,-1.156404403188003,-0.3386900455166156,-0.5761987478706538,0.2213601388777992,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.09920000000000001,-1.156404403188003,-0.3386900455166156,-0.5761987478706538,0.2213601388777992,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.09920000000000001,-1.156404403188003,-0.3386900455166156,-0.5761987478706538,0.2213601388777992,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.09920000000000001,-1.156404403188003,-0.3386900455166156,-0.5761987478706538,0.2213601388777992,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.09920000000000001,-1.156404403188003,-0.3386900455166156,-0.5761987478706538,0.2213601388777992,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.0994,-1.156310125968565,-0.3387271359899705,-0.5758514276246404,0.22085674370638692,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.0994,-1.156310125968565,-0.3387271359899705,-0.5758514276246404,0.22085674370638692,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.0994,-1.156310125968565,-0.3387271359899705,-0.5758514276246404,0.22085674370638692,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.0994,-1.156310125968565,-0.3387271359899705,-0.5758514276246404,0.22085674370638692,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.0994,-1.156310125968565,-0.3387271359899705,-0.5758514276246404,0.22085674370638692,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.0994,-1.156310125968565,-0.3387271359899705,-0.5758514276246404,0.22085674370638692,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.0994,-1.156310125968565,-0.3387271359899705,-0.5758514276246404,0.22085674370638692,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.0994,-1.156310125968565,-0.3387271359899705,-0.5758514276246404,0.22085674370638692,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.09960000000000001,-1.1562157957114694,-0.3387642016734058,-0.575503911986225,0.22035368498594723,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.09960000000000001,-1.1562157957114694,-0.3387642016734058,-0.575503911986225,0.22035368498594723,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
