lambda,eta,hit_prob,n,W_star,requested_W_lo,requested_W_hi,effective_W_lo,effective_W_hi,window_clipped,skipped
0.012,0.6,0.985,2000,0.05241482788417794,0.02620741394208897,0.10482965576835589,0.02620741394208897,0.10482965576835589,False,False
0.012,0.85,0.9995,2000,0.05241482788417794,0.02620741394208897,0.10482965576835589,0.02620741394208897,0.10482965576835589,False,False
0.012,1.1,1.0,2000,0.05241482788417794,0.02620741394208897,0.10482965576835589,0.02620741394208897,0.10482965576835589,False,False
0.016,0.0,0.0,2000,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.03174802103936399,0.12699208415745597,False,False
0.016,0.02,0.0,2000,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.03174802103936399,0.12699208415745597,False,False
0.016,0.035,0.0,2000,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.03174802103936399,0.12699208415745597,False,False
0.016,0.05,0.0,2000,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.03174802103936399,0.12699208415745597,False,False
0.016,0.07,0.0,2000,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.03174802103936399,0.12699208415745597,False,False
0.016,0.1,0.006,2000,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.03174802103936399,0.12699208415745597,False,False
0.016,0.14,0.0605,2000,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.03174802103936399,0.12699208415745597,False,False
0.016,0.2,0.248,2000,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.03174802103936399,0.12699208415745597,False,False
0.016,0.28,0.53,2000,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.03174802103936399,0.12699208415745597,False,False
0.016,0.4,0.8085,2000,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.03174802103936399,0.12699208415745597,False,False
0.016,0.6,0.978,2000,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.03174802103936399,0.12699208415745597,False,False
0.016,0.85,0.9965,2000,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.03174802103936399,0.12699208415745597,False,False
0.016,1.1,1.0,2000,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.03174802103936399,0.12699208415745597,False,False
0.024,0.0,0.0,2000,0.08320335292207617,0.04160167646103809,0.16640670584415235,0.04160167646103809,0.16640670584415235,False,False
0.024,0.02,0.0,2000,0.08320335292207617,0.04160167646103809,0.16640670584415235,0.04160167646103809,0.16640670584415235,False,False
0.024,0.035,0.0,2000,0.08320335292207617,0.04160167646103809,0.16640670584415235,0.04160167646103809,0.16640670584415235,False,False
0.024,0.05,0.0,2000,0.08320335292207617,0.04160167646103809,0.16640670584415235,0.04160167646103809,0.16640670584415235,False,False
0.024,0.07,0.0,2000,0.08320335292207617,0.04160167646103809,0.16640670584415235,0.04160167646103809,0.16640670584415235,False,False
0.024,0.1,0.0005,2000,0.08320335292207617,0.04160167646103809,0.16640670584415235,0.04160167646103809,0.16640670584415235,False,False
0.024,0.14,0.016,2000,0.08320335292207617,0.04160167646103809,0.16640670584415235,0.04160167646103809,0.16640670584415235,False,False
0.024,0.2,0.1185,2000,0.08320335292207617,0.04160167646103809,0.16640670584415235,0.04160167646103809,0.16640670584415235,False,False
